marker-color,marker-size,marker-symbol,lon,lat
#7e7e7e,large,bus,-74.13050652,40.64009084
#7e7e7e,medium,bus,-74.1327703,40.6389185
#7e7e7e,medium,bus,-74.13432598,40.63682614
#7e7e7e,medium,bus,-74.13557053,40.6348884
#7e7e7e,medium,bus,-74.1361928,40.63409864
#7e7e7e,medium,bus,-74.13296342,40.63212012
#7e7e7e,medium,bus,-74.13339257,40.63169673
#7e7e7e,medium,bus,-74.13676143,40.62878988
#7e7e7e,medium,bus,-74.1378665,40.62783719
#7e7e7e,medium,bus,-74.13987279,40.62620049
#7e7e7e,medium,bus,-74.14166451,40.62477547
#7e7e7e,medium,bus,-74.14446473,40.62262566
#7e7e7e,medium,bus,-74.14470077,40.62076895
#7e7e7e,medium,bus,-74.14491534,40.61913208
#7e7e7e,medium,bus,-74.14521575,40.61710425
#7e7e7e,medium,bus,-74.1424799,40.61655045
#7e7e7e,medium,bus,-74.14085984,40.616355
#7e7e7e,medium,bus,-74.13912177,40.61614325
#7e7e7e,medium,bus,-74.13640738,40.61575233
#7e7e7e,medium,bus,-74.13344622,40.61457141
#7e7e7e,medium,bus,-74.13249135,40.6123154
#7e7e7e,medium,bus,-74.13240552,40.61036881
#7e7e7e,medium,bus,-74.13212657,40.60808007
#7e7e7e,medium,bus,-74.13191199,40.60565279
#7e7e7e,medium,bus,-74.13136482,40.60146591
#7e7e7e,medium,bus,-74.13112879,40.60019514
#7e7e7e,medium,bus,-74.13106441,40.59866366
#7e7e7e,medium,bus,-74.13282394,40.59733581
#7e7e7e,medium,bus,-74.1322124,40.59170639
#7e7e7e,medium,bus,-74.1308713,40.59266774
#7e7e7e,medium,bus,-74.13286686,40.593181
#7e7e7e,medium,bus,-74.13481951,40.59340912
#7e7e7e,medium,bus,-74.13858533,40.58917259
#7e7e7e,medium,bus,-74.13060308,40.58278471
#7e7e7e,medium,bus,-74.12754536,40.57972907
#7e7e7e,medium,bus,-74.12724495,40.57758596
#7e7e7e,medium,bus,-74.12678361,40.57628214
#7e7e7e,medium,bus,-74.12413359,40.5757769
#7e7e7e,medium,bus,-74.12115097,40.57533277
#7e7e7e,medium,bus,-74.11927879,40.57411447
#7e7e7e,medium,bus,-74.11794305,40.57334029
#7e7e7e,medium,bus,-74.1167146,40.57425301
#7e7e7e,medium,bus,-74.11831856,40.5751046
#7e7e7e,medium,bus,-74.11991179,40.57589098
#7e7e7e,medium,bus,-74.12195027,40.57426523
#7e7e7e,medium,bus,-74.12143528,40.57236236
#7e7e7e,medium,bus,-74.12279785,40.57052871
#7e7e7e,medium,bus,-74.12483096,40.56900062
#7e7e7e,medium,bus,-74.12856996,40.56640076
#7e7e7e,medium,bus,-74.12997007,40.56517415
#7e7e7e,medium,bus,-74.12669778,40.56435503
#7e7e7e,medium,bus,-74.12535131,40.56353998
#7e7e7e,medium,bus,-74.12389755,40.56268417
#7e7e7e,medium,bus,-74.12166595,40.56134745
#7e7e7e,medium,bus,-74.11804497,40.56217475
#7e7e7e,medium,bus,-74.11541641,40.5647544
#7e7e7e,medium,bus,-74.11347985,40.56628258
#7e7e7e,medium,bus,-74.0839,40.717079
#7e7e7e,medium,bus,-73.88958,40.625419
#7e7e7e,medium,bus,-74.185524,40.442767
#7e7e7e,medium,bus,-74.401817,40.607697
#7e7e7e,medium,bus,-74.285088,40.726446
#7e7e7e,medium,bus,-73.990517,40.439108